S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1,10-01-18,1,-65.29883,-0.2539516,-90.98047,-0.35382926,
1,11-01-18,1,-29.65039,-0.11557309,-55.291016,-0.21551666,
1,18-01-18,1,549.8496,2.1011567,523.40625,2.000108,
1,24-01-18,2,695.25195,2.5855885,641.05273,2.3842893,
1,07-02-18,1,17.09961,0.06659439,-8.5859375,-0.03343792,
1,03-04-18,2,42.19922,0.17404035,-6.5507812,-0.026047483,
1,04-04-18,1,28.300781,0.11567889,3.8222656,0.015623435,
1,10-04-18,2,838.0996,3.396144,788.14453,3.1944513,
1,13-04-18,1,72.75,0.28916323,47.554688,0.1890181,
1,17-04-18,1,41.94922,0.16612631,16.677734,0.066046774,
1,18-04-18,1,-89.79883,-0.35394,-115.125,-0.45376256,
1,23-04-18,1,-11.349609,-0.04540234,-36.341797,-0.14537969,
1,30-04-18,2,656.60156,2.6407523,605.8906,2.4394333,
1,04-05-18,1,-98.65039,-0.3846259,-124.25,-0.48443568,
1,10-05-18,2,128.10156,0.4907729,75.822266,0.29052162,
1,14-05-18,1,91.59961,0.3485247,65.271484,0.24834958,
1,15-05-18,1,-9.75,-0.03650482,-36.453125,-0.13648356,
1,21-05-18,1,-195.44922,-0.750308,-221.40234,-0.8499391,
1,22-05-18,1,-76.80078,-0.2975402,-102.57422,-0.3973912,
1,23-05-18,1,-48.30078,-0.18674366,-74.140625,-0.28664738,
1,28-05-18,2,1373.8008,5.304509,1321.3164,5.101857,
1,30-05-18,1,-228.80078,-0.8670046,-255.07617,-0.9665711,
1,01-06-18,1,107.55078,0.40390185,80.86914,0.3037002,
1,07-06-18,1,288.0,1.0913472,261.4668,0.99080235,
1,11-06-18,2,107.69922,0.40716314,54.628906,0.20695478,
1,13-06-18,1,-0.69921875,-0.0026216344,-27.371094,-0.10262454,
1,21-06-18,1,109.0,0.41320276,82.56641,0.31299695,
1,25-06-18,1,57.45117,0.21567415,30.785156,0.115568794,
1,05-07-18,1,222.15039,0.84500116,195.75,0.7445811,
1,10-07-18,1,-48.148438,-0.17889106,-75.03906,-0.27880067,
1,18-07-18,1,63.148438,0.23479357,36.222656,0.13468024,
1,23-07-18,1,-96.94922,-0.36032632,-123.80664,-0.46014595,
1,24-07-18,1,57.40039,0.2132496,30.455078,0.1131444,
1,25-07-18,1,-24.199219,-0.0894877,-51.23047,-0.18944813,
1,31-07-18,2,597.39844,2.1780088,542.1582,1.9769214,
1,06-08-18,2,622.0,2.2553225,566.4883,2.0542,
1,08-08-18,1,61.648438,0.22063355,33.67578,0.12052223,
1,10-08-18,1,69.45117,0.24629517,41.216797,0.14616741,
1,14-08-18,1,-28.25,-0.10084928,-56.248047,-0.20079911,
1,20-08-18,2,63.25,0.22503953,6.7421875,0.024929017,
1,23-08-18,1,-83.40039,-0.295138,-111.61719,-0.39499184,
1,29-08-18,2,-127.25195,-0.44944417,-183.78906,-0.64922225,
1,31-08-18,1,-87.5,-0.31126162,-115.56836,-0.4111085,
1,03-09-18,1,-55.94922,-0.19926569,-84.0,-0.2991698,
1,10-09-18,1,-134.54883,-0.4893957,-161.97461,-0.5891518,
1,11-09-18,1,-57.15039,-0.209433,-84.41016,-0.30932897,
1,17-09-18,2,-173.55078,-0.6414023,-227.29492,-0.8410867,
1,22-11-18,1,-12.548828,-0.047768757,-38.8125,-0.14774486,
1,27-11-18,1,113.95117,0.43465692,87.677734,0.33443916,
1,03-12-18,1,-60.54883,-0.22496858,-87.43359,-0.32485867,
1,07-12-18,1,17.0,0.06454859,-9.345703,-0.035485405,
1,10-12-18,1,-376.4004,-1.4149832,-402.81445,-1.5142802,
1,13-12-18,2,646.00195,2.4387927,592.6836,2.237574,
1,19-12-18,1,301.3496,1.116182,274.19922,1.0156184,
1,21-12-18,1,-169.25,-0.62017125,-196.45508,-0.7198569,
1,27-12-18,1,278.75,1.0430444,251.88477,0.9425185,
1,31-12-18,1,-35.05078,-0.12887028,-62.23242,-0.22880828,
1,02-01-19,1,84.59961,0.31116238,57.36914,0.2110071,
1,04-01-19,1,-57.75,-0.2127209,-84.86914,-0.31261367,
1,09-01-19,1,119.94922,0.43818587,92.515625,0.33796835,
1,10-01-19,1,-158.40039,-0.57096857,-186.06445,-0.67068624,
1,15-01-19,1,-15.400391,-0.056239467,-42.77539,-0.15620805,
1,16-01-19,1,-29.201172,-0.1061604,-56.69336,-0.20610783,
1,18-01-19,1,-83.70117,-0.3039694,-111.19531,-0.40381724,
1,21-01-19,1,-30.048828,-0.108999535,-57.601562,-0.20894471,
1,23-01-19,2,-123.84961,-0.44982606,-178.85156,-0.6495998,
1,25-01-19,1,-8.949219,-0.03278979,-36.23828,-0.13277647,
1,01-02-19,2,74.05078,0.2886511,19.71289,0.08850694,
1,05-02-19,1,171.35156,0.63275594,144.18555,0.53243905,
1,06-02-19,1,-84.0,-0.30674228,-111.3418,-0.4065862,
1,07-02-19,1,-61.44922,-0.22367863,-88.890625,-0.3235669,
1,08-02-19,1,-156.30078,-0.5697806,-183.65625,-0.6695025,
1,15-02-19,1,-109.10156,-0.4045286,-136.01562,-0.504321,
1,21-02-19,1,61.19922,0.22698325,34.20703,0.12687127,
1,26-02-19,2,-517.4512,-1.9078641,-571.3379,-2.1069105,
1,27-02-19,1,-120.35156,-0.44289556,-147.46484,-0.5426729,
1,06-03-19,1,454.55078,1.6773587,427.2246,1.5765213,
1,08-03-19,1,-26.40039,-0.09535164,-54.07422,-0.19530262,
1,14-03-19,2,1160.0,4.097951,1102.7832,3.8959048,
1,15-03-19,1,-116.90039,-0.39658105,-146.31836,-0.4963806,
1,18-03-19,1,-281.44922,-0.9459683,-311.0625,-1.0455004,
1,20-03-19,2,42.95117,0.14654498,-16.43164,-0.053532302,
1,22-03-19,1,7.4003906,0.024862308,-22.36914,-0.075151235,
1,27-03-19,2,944.9512,3.2038884,885.46875,3.0022922,
1,29-03-19,1,50.5,0.1670711,20.248047,0.0669874,
1,01-04-19,1,55.65039,0.18294404,25.203125,0.08285228,
1,03-04-19,1,-46.25,-0.15166843,-76.72266,-0.25159797,
1,08-04-19,1,12.199219,0.040596537,-17.857422,-0.059425894,
1,10-04-19,1,-0.1484375,-4.9514737E-4,-30.125,-0.10048886,
1,15-04-19,1,159.55078,0.53357095,129.56836,0.4333035,
1,18-04-19,1,120.70117,0.39792228,90.30859,0.29772538,
1,25-04-19,2,278.5,0.9402222,218.86719,0.73974514,
1,30-04-19,1,-121.79883,-0.40805885,-151.58594,-0.5078536,
1,02-05-19,1,-87.5,-0.29333428,-117.28516,-0.39318582,
1,10-05-19,1,-112.79883,-0.3866403,-141.91797,-0.48645195,
1,15-05-19,1,3.7011719,0.012804299,-25.207031,-0.08720437,
1,21-05-19,2,3765.5977,13.092466,3706.1758,12.8859215,
1,02-07-19,2,-80.85156,-0.25709692,-143.55469,-0.45697254,
1,03-07-19,1,-53.19922,-0.16925932,-84.603516,-0.26917562,
1,10-07-19,1,-103.80078,-0.3383111,-134.43164,-0.43814424,
1,16-07-19,1,-86.55078,-0.28298673,-117.09375,-0.3828501,
1,17-07-19,1,32.45117,0.105916835,1.796875,0.00586479,
1,25-07-19,1,-165.09961,-0.56488824,-194.24414,-0.6646063,
1,29-07-19,2,29.048828,0.10036594,-29.576172,-0.099687755,
1,29-11-19,1,136.5,0.42818695,104.552734,0.32797152,
1,02-12-19,1,-170.04883,-0.5313719,-201.96484,-0.63110363,
1,04-12-19,1,-168.04883,-0.5284563,-199.76562,-0.62819475,
1,05-12-19,1,-102.25,-0.31977707,-134.17578,-0.4196219,
1,16-12-19,2,549.74805,1.738917,486.0918,1.5380446,
1,23-12-19,3,-91.30078,-0.28149164,-188.48633,-0.5813453,
1,30-12-19,2,-233.79883,-0.71829545,-298.6582,-0.91794205,
1,03-01-20,1,-3.0996094,-0.009627476,-35.29297,-0.10962099,
1,07-01-20,1,-400.29883,-1.2573739,-431.93555,-1.3567476,
1,10-01-20,2,619.4004,1.9787472,555.4863,1.7777572,
1,16-01-20,2,-229.04883,-0.71749806,-292.68555,-0.9171412,
1,23-01-20,1,-142.05078,-0.45990473,-172.86719,-0.55967623,
1,31-01-20,1,-168.95117,-0.547119,-199.7461,-0.646843,
1,05-02-20,1,614.6504,2.042028,584.2422,1.941004,
1,12-02-20,1,-51.25,-0.16272837,-82.71875,-0.26264757,
1,14-02-20,1,-420.0,-1.3389869,-451.15625,-1.4383149,
1,20-02-20,1,16.0,0.051653642,-14.984375,-0.048374847,
1,28-02-20,1,-686.5508,-2.279896,-716.3203,-2.3787546,
1,06-07-21,1,123.75,0.34923345,88.25391,0.24906033,
1,12-07-21,1,-108.80078,-0.3082389,-144.04297,-0.40808204,
1,15-07-21,1,-49.69922,-0.13841364,-85.58203,-0.23834822,
1,30-07-21,1,-154.55078,-0.4449963,-189.20703,-0.5447817,
1,09-08-21,1,-143.65234,-0.3982367,-179.65234,-0.4980368,
1,10-08-21,1,-82.80078,-0.22892241,-118.92969,-0.32880935,
1,16-08-21,1,-64.35156,-0.17789157,-100.49219,-0.27779764,
1,18-08-21,1,13.0,0.03623572,-22.882812,-0.06378271,
1,26-08-21,1,-61.55078,-0.17251891,-97.19922,-0.27243692,
1,31-08-21,2,568.3008,1.5854268,495.86328,1.3846447,
1,14-09-21,1,-135.25,-0.36819902,-171.91406,-0.46801177,
1,17-09-21,2,794.1953,2.1706069,719.3906,1.9695187,
1,24-09-21,1,-159.5,-0.42030925,-197.36719,-0.5200956,
1,08-10-21,1,-188.5,-0.4965662,-226.36719,-0.59631985,
1,12-10-21,1,-210.05078,-0.5461098,-248.40625,-0.64583004,
1,13-10-21,1,198.75,0.5166491,160.1836,0.416396,
1,18-10-21,2,1566.6523,4.0245795,1487.9961,3.8225613,
1,22-10-21,1,310.69922,0.7785952,270.63672,0.6782008,
1,25-10-21,1,367.84766,0.9020716,326.8828,0.8016136,
1,29-07-22,1,-249.25,-0.66314495,-286.71094,-0.7628121,
1,02-08-22,2,-29.953125,-0.07411283,-105.515625,-0.27406862,
1,04-08-22,1,-145.80078,-0.3833438,-183.76172,-0.4831518,
1,10-08-22,1,-119.55078,-0.31155327,-157.86328,-0.4113969,
1,16-08-22,1,179.80078,0.4614104,140.74219,0.361177,
1,18-08-22,2,88.203125,0.22442979,9.375,0.024314702,
1,19-08-22,1,-225.19922,-0.5679542,-264.73438,-0.66766214,
1,23-08-22,1,-212.5,-0.5516801,-250.91016,-0.6513983,
1,25-08-22,1,253.35156,0.64845306,214.15625,0.5481327,
1,15-09-22,1,349.89844,0.8548693,308.79297,0.7544407,
