S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
3,13-11-19,2,1255.4512,4.0293503,1132.0757,3.6333747,
3,21-10-21,3,-437.5,-1.095986,-677.4459,-1.6970903,
3,21-10-20,3,-248.94922,-1.0119905,-396.81805,-1.6129957,
3,13-11-18,3,-202.00195,-0.78555745,-356.50775,-1.3863432,
3,07-09-21,5,-389.59375,-1.0646583,-756.04114,-2.0657277,
3,24-01-22,1,-116.05078,-0.31410325,-190.06024,-0.5144129,
3,22-03-22,3,-354.0,-0.9842422,-570.1792,-1.5852278,
3,29-02-16,3,-30.850586,-0.2252245,-115.31694,-0.825446,
3,31-07-19,1,56.65039,0.1957833,-1.1634636,-0.004022991,
3,01-04-20,5,597.1504,3.251577,414.11823,2.2548122,
3,01-04-21,4,-351.29688,-1.0460669,-620.58026,-1.8471297,
3,01-04-22,4,-446.5039,-1.2161417,-740.7158,-2.0173552,
3,01-04-16,2,56.0,0.34520242,-8.791,-0.054446444,
3,07-10-19,3,-286.30078,-1.021689,-454.7646,-1.6227076,
3,20-05-22,4,-344.79688,-1.0121467,-618.0619,-1.8131492,
3,17-06-22,1,-35.04883,-0.10696184,-100.61908,-0.30706304,
3,20-05-20,6,-249.50195,-1.4156818,-461.70544,-2.6171064,
3,19-04-21,2,-377.3496,-1.2255473,-500.88824,-1.6267678,
3,12-06-20,3,-713.75195,-3.574713,-834.2661,-4.178295,
3,02-08-21,1,83.5,0.23990704,13.973198,0.04014537,
3,07-10-20,2,-152.5,-0.664659,-244.4311,-1.0653175,
3,07-10-21,2,205.70312,0.54361594,54.54982,0.14416209,
3,19-04-22,2,704.6992,1.8965513,557.5076,1.4984589,
3,13-11-20,4,-301.39844,-1.0638415,-528.47394,-1.8649075,
3,07-10-22,2,-0.74609375,-0.0019293576,-157.55394,-0.4019332,
3,06-05-20,3,96.70117,0.48030102,-20.962631,-0.11922002,
3,30-03-16,4,-168.0498,-1.0628753,-294.88376,-1.8639321,
3,26-11-19,2,-178.99805,-0.5637177,-306.19183,-0.96428615,
3,05-11-20,1,-111.25,-0.4258308,-163.61206,-0.62625384,
3,08-03-18,2,65.34961,0.26675725,-32.50614,-0.13297486,
