sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
15085,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15086,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,70,2,1,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15087,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15088,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,10,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15089,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,6,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15090,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,1,6,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15091,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,2,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15092,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15093,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,2,6,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15094,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15095,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15096,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15097,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,15,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15098,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15099,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,8,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15100,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15101,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15102,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15103,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,3,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15104,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,20,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15105,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15106,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,0,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15107,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,2,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15108,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,2,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15109,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15110,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15111,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15112,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15113,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15114,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,3,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15115,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,6,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15116,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,0,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15117,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15118,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,2,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15119,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,2,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15120,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,3,5,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15121,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,4,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15122,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,20,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15123,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0,20,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15124,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,1,4,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15125,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15126,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,1,4,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15127,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,3,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15128,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,70,2,1,3,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15129,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15130,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,10,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15131,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,6,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15132,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,1,6,15,5,6,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
